season,bpid,mlbam_id,full_name,pit_hand,bats,pa,out_rate_pred,so_rate_pred,bb_rate_pred,hbp_rate_pred,roe_rate_pred,single_rate_pred,double_rate_pred,triple_rate_pred,hr_rate_pred,drc_plus
2025,117987,681909,Justin Dean,R,R,2,0.448,0.2535,0.0699,0.0133,0.0061,0.142,0.0396,0.0025,0.0251,82.6205
2025,106969,664702,Myles Straw,R,R,153,0.5246,0.1674,0.0625,0.0091,0.0068,0.1673,0.047,0.0027,0.0126,82.3981
2025,101568,623993,Anthony Santander,L,S,55,0.4342,0.2662,0.0899,0.0068,0.006,0.1323,0.0387,0.0016,0.0243,80.1742
2025,69667,606192,Teoscar Hernández,R,R,419,0.4679,0.2514,0.0488,0.0079,0.0059,0.1414,0.0437,0.0021,0.0308,80.0633
2025,110995,662139,Daulton Varsho,L,L,56,0.4379,0.2946,0.0522,0.0099,0.0036,0.1215,0.0345,0.004,0.0418,78.3936
2025,103420,643396,Isiah Kiner-Falefa,R,R,335,0.525788059701493,0.177658208955224,0.0416507462686567,0.011255223880597,0.00774328358208955,0.175753731343284,0.0462268656716418,0.00357014925373134,0.0103507462686567,75.944876119403
2025,165248,808975,Hyeseong Kim,R,L,149,0.4157,0.303,0.0604,0.0072,0.0042,0.1411,0.0398,0.0042,0.0245,73.8986
2025,106346,664770,Nathan Lukes,L,L,52,0.5272,0.1774,0.0701,0.0109,0.0044,0.1543,0.0384,0.004,0.0133,72.2119
2025,112867,680718,Addison Barger,L,L,89,0.4542,0.2752,0.0571,0.0098,0.0036,0.1284,0.0393,0.0024,0.0298,70.8665
2025,108516,666163,Ben Rortvedt,L,L,24,0.508829166666667,0.2022125,0.0634166666666667,0.0174791666666667,0.00455833333333333,0.148479166666667,0.0375666666666667,0.00349583333333333,0.0140625,68.7878541666667
2025,107858,665926,Andrés Giménez,L,L,86,0.5172,0.1966,0.0573,0.0263,0.0047,0.1475,0.0363,0.0029,0.0111,64.0182
2025,165248,808975,Hyeseong Kim,L,L,21,0.4116,0.3364,0.0464,0.0111,0.0043,0.1397,0.0314,0.0032,0.016,47.734
