season,bpid,mlbam_id,full_name,pit_hand,bats,team,bf,out_rate_pred,so_rate_pred,bb_rate_pred,hbp_rate_pred,roe_rate_pred,single_rate_pred,double_rate_pred,triple_rate_pred,hr_rate_pred,dra_minus
2025,139955,681911,Alex Vesia,L,R,LAD,160,0.3851,0.2973,0.0996,0.0116,0.0039,0.1247,0.0393,0.0022,0.0363,96.4163
2025,111222,663893,Brendon Little,L,R,TOR,156,0.368,0.2856,0.1564,0.0072,0.0093,0.1214,0.0325,0.002,0.0176,96.4325
2025,103420,643396,Isiah Kiner-Falefa,R,R,TOR,1,0.4657,0.2106,0.085,0.0126,0.0057,0.1431,0.0427,0.0045,0.0301,97.2304
2025,70795,607192,Tyler Glasnow,R,L,LAD,175,0.4181,0.2586,0.1015,0.0087,0.0033,0.1378,0.0389,0.003,0.0301,98.1674
2025,56753,453286,Max Scherzer,R,R,TOR,158,0.4564,0.2387,0.0572,0.0108,0.0041,0.1427,0.0467,0.0022,0.041,102.3387
2025,49786,477132,Clayton Kershaw,L,R,LAD,368,0.4973,0.181,0.076,0.0063,0.0066,0.1518,0.0475,0.0031,0.0303,103.3167
2025,143656,686218,Emmet Sheehan,R,L,LAD,111,0.4154,0.2659,0.0922,0.008,0.0031,0.1332,0.0413,0.0039,0.0371,104.1378
2025,120108,680755,Braydon Fisher,R,L,TOR,85,0.396,0.2664,0.1235,0.0102,0.0032,0.1281,0.0386,0.003,0.0311,104.1433
2025,69516,605135,Chris Bassitt,R,L,TOR,419,0.4538,0.2183,0.0866,0.0107,0.0043,0.1485,0.0429,0.0038,0.0312,105.1912
2025,68557,592332,Kevin Gausman,R,L,TOR,369,0.4673,0.2115,0.0781,0.0051,0.003,0.1474,0.0461,0.0035,0.038,109.586
2025,101250,623168,Tyler Heineman,R,R,TOR,13,0.4884,0.1822,0.077,0.0167,0.0062,0.1512,0.0442,0.0037,0.0304,110.1192
2025,101008,622554,Seranthony Domínguez,R,L,TOR,116,0.389293965517241,0.268523275862069,0.137068103448276,0.00728793103448276,0.0031301724137931,0.127268103448276,0.0368698275862069,0.0033,0.0273887931034483,113.51434137931
2025,164332,808963,Roki Sasaki,R,R,LAD,76,0.4761,0.1929,0.0815,0.0166,0.0057,0.1479,0.0433,0.0029,0.0332,114.0424
2025,115693,676508,Ben Casparius,R,L,LAD,137,0.4462,0.2249,0.0906,0.008,0.0029,0.1388,0.047,0.0039,0.0375,116.3732
2025,145915,689254,Mason Fluharty,L,R,TOR,113,0.4457,0.2053,0.1205,0.0083,0.0059,0.1377,0.0431,0.0022,0.0313,117.4903
2025,51611,500743,Miguel Rojas,R,R,LAD,16,0.4875,0.1787,0.0847,0.0162,0.006,0.148,0.0452,0.0027,0.0312,118.1619
2025,108957,641778,Eric Lauer,L,R,TOR,296,0.458,0.2211,0.0732,0.0069,0.0047,0.1415,0.049,0.0028,0.0429,118.2324
2025,103420,643396,Isiah Kiner-Falefa,R,L,TOR,1,0.4484,0.1983,0.117,0.0096,0.0033,0.1394,0.0439,0.0066,0.0335,118.5556
2025,59660,571771,Enrique Hernández,R,R,LAD,20,0.4785,0.1759,0.1104,0.0118,0.0071,0.1444,0.0416,0.0025,0.0279,121.7742
2025,68804,595014,Blake Treinen,R,L,LAD,54,0.3941,0.2497,0.1402,0.0111,0.0028,0.128,0.0392,0.0031,0.0319,126.7737
2025,71071,607455,Anthony Banda,L,R,LAD,157,0.4399,0.2079,0.1248,0.0085,0.0051,0.1357,0.0429,0.0027,0.0324,132.366
2025,51611,500743,Miguel Rojas,R,L,LAD,12,0.471,0.1699,0.1153,0.0101,0.0035,0.1445,0.0465,0.0036,0.0357,141.7215
2025,142702,684320,Yariel Rodríguez,R,L,TOR,122,0.4448,0.184,0.1389,0.0143,0.0036,0.1375,0.0415,0.0037,0.0317,143.0529
2025,56753,453286,Max Scherzer,R,L,TOR,200,0.4666,0.1944,0.079,0.0058,0.0025,0.1448,0.0508,0.0034,0.0527,156.8049
2025,59660,571771,Enrique Hernández,R,L,LAD,17,0.4588,0.1594,0.15,0.0083,0.004,0.1417,0.0436,0.0036,0.0306,157.4622
2025,164332,808963,Roki Sasaki,R,L,LAD,85,0.4528,0.1828,0.1208,0.0108,0.0033,0.1428,0.0439,0.0043,0.0386,160.453
2025,101250,623168,Tyler Heineman,R,L,TOR,14,0.468,0.1711,0.1075,0.0186,0.0036,0.1467,0.0452,0.0056,0.0337,160.8217
