game_id,Blue Jays,Dodgers,winner,combined_runs
Game_264,0,1,Dodgers,1
Game_317,0,4,Dodgers,4
Game_545,1,3,Dodgers,4
Game_1017,1,2,Dodgers,3
Game_1225,3,6,Dodgers,9
Game_1274,7,8,Dodgers,15
Game_1460,2,4,Dodgers,6
Game_1595,0,3,Dodgers,3
Game_1675,2,4,Dodgers,6
Game_1738,5,6,Dodgers,11
Game_1904,2,3,Dodgers,5
